id	text	label
1126878593160663040	RT @BakerBitchBakes: FUCK GEORGIA LAW MAKERS 😡😡😡  Can I say that?	HOF
1123792336209707008	RT @ultems: after talking to them cardi b probably went to the next room and took off her clothes and posted that fucking pussy video on he…	HOF
1130309001185517573	@Trademarck @Neil_Zee @Knifewear Missed the garage sale.  He usually gets one for Father’s Day or his birthday to add to his collection. 😉	NOT
1130236603291643905	Shame on you	HOF
1123491529115545601	RT @SudouTatsuya: eat shit grammar nazis!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	HOF
1130145163253170182	RT @dreddxn: in my dream, you're with me	NOT
1123622236227887109	I forgot how much buying concert tickets stresses me the FUCK OUT	HOF
1126979118065696768	@JulietMEvans A bad deal was totally ruled out by the same vile idiot. The EU and the rest of the world were going… https://t.co/85mVJjbRKo	NOT
1123653324383956993	@freepsports I don’t like him for a lot of reasons. But never thought he played that game.	NOT
1130296913167888388	they really exiled jon like fuck off	HOF
1130256530413105152	RT @NikeIsMyLogo23: FACETIME: *Reconnecting*  ME: shit this my chance to hang up 😅	HOF
1126848394184482816	RT @realDonaldTrump: James Comey is a disgrace to the FBI &amp; will go down as the worst Director in its long and once proud history. He broug…	HOF
1123605475789033472	RT @DatNiggaBooty: Put yo face in his ass 🍑😝💦 https://t.co/kHnuzN54yY	HOF
1123588828571287552	@mitchellvii President Trump has exceeded all of my expectations. Not only is he a stellar President, he is a wonde… https://t.co/emLuCMS1Zd	NOT
1123672161011556354	RT @AdivasisMatter: "We want to tell the world that the rulers of this country have looted the people." #Adivasi author Gladson Dungdung wr…	NOT
1127056498759282688	Rockets are shit So no championships for James Harden and Chris Paul 😂	HOF
1123633959278129152	@Nonku_Kay My mom told me once umuntu wahamba, they must never come back cos you don’t know who you’re dealing with, babuya beshintshile 🤞🏽	NOT
1130284208654626818	Aight imm go listen too Igor again I Fuck wit that album...	HOF
1126974974105935873	RT @softsadsatan: birth control..... is being counted as abortion.... why the fuck are men in charge of being able to make these laws.... c…	HOF
1126770875045269505	have to keep telling my brain to shut the fuck up so I can get some sleep	HOF
1130148166408400901	RT @Skulltrendy: If you're sick of mosquitos ruining your day, this is PERFECT for you!  Buy now &amp; get Extra 10% Off Use code NEW10   ✅50%…	NOT
1123497682159394816	go USTe!!!!!!!!!!!!! #KamiNaman 🐯💛	NOT
1130127312303865856	so my dad just told me that he’d like to eventually move to colorado, even within the next few years. BET?	NOT
1130250725513203713	Omg, this is the stupiest warning I have ever seen! Im.gonna go deaf from thunder? Really???? @NWS https://t.co/IMg72zaoU3	NOT
1126818526558347264	RT @sohmer: @realDonaldTrump The Importer pays the tariffs, you fucking moron. You’ve levied a sales tax on yours own citizens.	HOF
1126962949002813440	RT @BJeleren: I've had this dress for over a yet and I JUST NOW REALIZED the bitch has P O C K E T S!! https://t.co/KftWK0OLVY	HOF
1126939578374340608	Great News! Thank you @realDonaldTrump !  Pentagon To Transfer $1.5 Billion From Afghanistan Funding For Trump's Bo… https://t.co/coVw2oQEgl	NOT
1126861128091480064	RT @readkropotkin: We hate nazis right?? We extra hate nazis who work for the NC division of prisons right???   Glad you're on board. This…	HOF
1123510017611554817	RT @bilalfqi: While Shias are protesting against enforced disappearances outside President @ArifAlvi's house, banned sectarian outfit #ASWJ…	NOT
1123690414635192320	RT @ANTIGOPMVMT: After Trump Retweets Account, It Changes Name to 'Fuck Donald Trump' https://t.co/qpwX8mlwdB	HOF
1127063603922661376	@_yourrdesire BITCH IDGAF LMAO	HOF
1126922595633221632	RT @SmStains007: Modi will never again represent the myriad dreams and aspirations of 2014. Then he was a messiah, ushering in a future too…	HOF
1126934629091545088	I do this shit with my eyes closed...	HOF
1130294992193433600	RT @Jazzlaro: If Muslims hate Dogs🐶 Beer🍺Bacon 🥓Bikinis 👙 Jesus 🙏&amp; Freedom of Speech 🗣, why exactly do they come to America? 🇺🇸	HOF
1126972361046208513	Oh shit here we go again, deixem de estar! 😂🛎🔛	HOF
1130159944009953281	@BraCarollo What the fuck? And i thought that learning spanish was difficult, this idiot come with that inclusive l… https://t.co/Trkj3ELSxM	HOF
1130277506148392960	RT @adderalldaddy: @rapharmarinho @makayla_3305 @shanedawson if he truly ever thought that james was a "danger to society" or a "predator"…	HOF
1123728633108078600	Do you like to plan things out or be spontaneous? — i want to say i'm a planner but everything i do is a spur of th… https://t.co/GT1BPZDuJr	NOT
1123498172884627457	@CHIMPSINSOCKS And all the other complete and utter shite he spouts - virtually everything he says is utter shite?????	HOF
1126842618648784897	You’re sifting through the treasures and trash of your inner w... More for Virgo https://t.co/D0Xcgdp9e5	NOT
1123735939581394945	Strawberry Kiwi koolaid is my SHIT!!!	HOF
1123628464769249280	RT @Genius: ain't no question if i want it, i need it	NOT
1130035767412047873	RT @taekookmemories: MARK THIS LEGENDARY DATE, TAEKOOKERS. THE DAY THAT TAEKOOK NATION FINALLY BREATHEDT. MAY FUCKING EIGHTEEN, TWENTY-NINE…	HOF
1126874872817364992	RT @ClaraJeffery: Why do tech guys constantly want to spend their billions getting into space rather than IDK spending it on a Marshall pla…	NOT
1126876248574234626	RT @DemetriusHarmon: people just talk. regardless if they know what the fuck they talm bout or not. ignore em.	HOF
1130168882063433729	@OhIte_Ni Okayyyy 👏🏽 where ya going	NOT
1127077076044005377	RT @JackPosobiec: Father of Colorado school shooter Alec McKinney is serial felon and illegal immigrant https://t.co/O04SQ3nPDS	HOF
1126961195779489792	@TeamPelosi @SusanDanzig219 You do a phenomenal job. I sleep better at night knowing you're at helm.	NOT
1126974445606719488	RT @_christiaannn: HELL FUCKING NO!!!! https://t.co/X7XOiNFIhv	HOF
1130080860374540288	＠null Another hour! It's May 19, 2019 at 09:00PM	NOT
1123586102265352193	@JakeSherman @yashar This isn't a partisan issue. He lied, it's a felony, he needs to go.	NOT
1130076557026963457	RT @charliekirk11: I am so SICK of Republicans endorsing positions simply to appease the media and the left  The media loves Republicans th…	HOF
1123811667769479168	RT @novrpali: If you ever want to pray for me, then pray that the shahada will always be engraved in my heart until my final breath on this…	NOT
1130202608461914117	RT @laurabranigan: All READY for @StLouisBlues Game 5!!🙂 GO BLUES!!!🙂💙🎶💛🏒 ~ Kathy Golik, Other Half Entertainment #LGB #PlayGloria #LauraBr…	NOT
1123578477045800961	RT @shannon49170750: Me staring at my carmex only after applying it 3 minutes ago   me: Don’t do it  Don’t do it  Don’t do it  Don’t do it…	NOT
1126895529781284864	someone said I look like max theiriot and now no one can tell me shit about my looks. best compliment ever.	HOF
1126973283788894209	fuck james charles	HOF
1126882812659937280	RT @jintaellect: EXOLs: *brag about daesangs,gucci and album sales*  BTS: *now officially has the highest number of daesangs,DIOR works for…	NOT
1123510940362784769	RT @sam19_14: Stop saying I LOVE YOU simply because you want to get in between her legs.  Be honest, tell her what you want. She might give…	HOF
1123492837759184896	L O O K AT HIS ARMS THEYRE SO BUFF https://t.co/QEZqNlmdsz	NOT
1126818006435340288	@LyricalWarsGh Kahaz where he vanish go	NOT
1127013729453989888	RT @scumbelievable: .@FerretParty: House Casten, sigil a white shark trailing fish on a field of deep blue, words "The Blood Will Tell"	NOT
1123676997039919104	RT @brianjmoran: @B1N2H3X @jtrajewski @NCCC_MA I think we need to work on putting together an Internet of Scooters talk ;)	NOT
1126855579023093761	LFNSJXJEOFKSKFKE YOOOO FUCK HIM THAT EMBARRASSING ASS VERSE  “All I get is these vampires and bluud suckas”	HOF
1130283864725704704	Jon is some of y’all making excuses for y’all partners terrible ass behaviors	HOF
1130341590898057216	@chaechae_chae little chaer 🐯 https://t.co/3shgwDZynB	NOT
1126956565267980288	MY DJDJDUXUDGYBJDJDIENDNFNDJ HAJIMEME JUST FUCKING LYNXED ME AND IT WAS THE GOLD ONE YUCKY but nice smell BUT STILL YUCKY	HOF
1130239472191168513	Ooh I never have to go to Walmart. But this lmao	NOT
1126859827878166528	RT @whyyougagging: the fact that she’s looking at him like this is the most romantic shit ever is sending me https://t.co/FmsqC9N4TB	HOF
1123709796488810496	@FreakyActs Fuckkkk I need that	HOF
1127032465426534400	RT @peedekaf: do i want to die or do i just want to stop feeling empty everyday	HOF
1127056477812772869	RT @LillyMaryPinto: I want this to happen to liar Pappu,  foul mouthed siddu, sidramaiah, prakash raj, many more So that they should think…	NOT
1130170853382152192	EVERY FUCKING THING I DO IS A PROBLEM... STRETCHING A FUCKING PROBLEM EVERY DAMN THING A FUCKING PROBLEM	HOF
1123571376101777409	RT @CocoaMochaCrml: @irontriIogy Somewhere out there is a six hour cut of this film and they need to put it on blu ray. I need the 45 minut…	NOT
1123718738753277960	RT @SpyTalker: This is the third case in less than a year in which a former US intelligence officer has pled or been found guilty of conspi…	NOT
1126801581565980673	@canelo28969897 @ItsCandyyyyyyy @DiamondRhona @darrel30901325 @Noblenosey Don’t nobody want no damn white man ew &amp;… https://t.co/cuzxJAzFGL	HOF
1130232962644140034	This is what you'll look like if you hate the letter l sub 2 myusernamesthis https://t.co/MlmNEzkXwj	NOT
1130283726313795584	@RealSaavedra @benshapiro My hot water heater went out today-That damn trump got me again!!!	HOF
1126754336904585216	We think you ought to know, dear brothers and sisters, about the trouble we went through in the … https://t.co/Z13RYn86HZ	NOT
1123666624542838784	I need	NOT
1123573271889420289	@JadedMemoirs Thats what the fuck you really going do...FOH	HOF
1130092084357160961	@TrumpStudents @realDonaldTrump No he's not their fighting for the right to keep fucking their siblings and their children	HOF
1123671758375149570	RT @DVDJXX: Draymond had LeBron eyes looking like that too. Nigga dead ass be digging in his butt before games https://t.co/AeZ9N7B6Ow	HOF
1126793339737534465	RT @mr_c3p0: Which is why u dumb bums need to stop getting your lashes done from any random lash “tech”. Make sure they’re certified at lea…	HOF
1126978027533979648	RT @sehunwife124: [ HELP RT ] Hi everyone, i need your help to report this instagram acc @/awiembr69 he’s using someone vid to make his so…	NOT
1123786887813054464	@AweminusDub You’re pouring up a 3	NOT
1126878584772210691	I Agree with President Trump	NOT
1126853645469986817	RT @Manny_Rae: If you're feeling sorry for the people of King's Landing just remember they rooted for Ned's execution. #GameofThrones https…	NOT
1126780811364139009	I cannot fucking wait for this week to be over tbh.  The absolute gall of certain people on here is absolutely beyond me.	HOF
1123578724488761345	@I_Marcism @colorblindk1d @NoahCRothman We know you probably legitimately think you are living under a tyrannical l… https://t.co/l26NTwwvQO	NOT
1126742647408742401	RT @remdior: this fandom fucking sucks now. 2013 was the best  -we were never problematic back   -ariana was our little secret   -every oth…	HOF
1130239111501979654	RT @mrOluwaG: when the Netflix movie is finally over and it's time to fuck https://t.co/JQYE3qNJXN	HOF
1123688925661409280	@KamalaHarris You were righteous and fierce. We're gonna need more of that if we're ever gonna crawl out of this slagheap of corruption.	NOT
1123771595368075265	@eltlaxca_ @Jose_Ruelas @shotwithsoju @MSAZEALIABANKS Because she’s ass. Like the cyst on her ass.	HOF
1123488182044110848	RT @Soeljchillinger: Some dumbass DMed me telling me I couldn’t dance to ‘when the party’s over’ so here you go, fuck you greg https://t.co…	HOF
1130086732420882432	RT @PS_OfficialTH: Go Go Go 🔥🔥🔥🔥💪  #วันเฮบ้านฮา #HeyDayxPerthSaint https://t.co/1X0iXBGlFL	NOT
1130328089450426375	@Dothraki_Savage Jon a bitch.	HOF
1123504804075048960	RT @Tatsuforbs: This shit has me dying 😂😂😂😂😭😭 https://t.co/xwIr6ZN9Mw	HOF
1126783025956573184	RT @Mic_Pim: I wonder what trump supporters think about my undocumented ass graduating undergrad in 4 years with:  -3 majors (Chem,Math,Bio…	HOF
1126808229525082113	bitch what the fuck	HOF
1130209407416045569	RT @blessingmariah: From being an illegal immigrant from Nigeria to being a college graduate..in other words FUCK DONALD TRUMP. https://t.c…	HOF
1130240239757352960	Cmon dude.  Keep it on the damn fairway. Don’t give this away!	HOF
1130298255345037312	RT @Tyra267: Lol what a trash ass ending #GameOfThronesFinale https://t.co/wLqk7fOOCK	HOF
1123534092904140801	RT @Sexual_hub2: FUCK SLUTTY BUSTY MILF STEP-MOM NOW 😍😍💋💋🔥🔥💦💦 (FOR FREE)   ⬇️⬇️Click here &amp; Enjoy Fuck⬇️⬇️  💋 https://t.co/P6dmkK7ZPW 💋   h…	HOF
1123649100749201408	@purelysteve as far as i’m concerned that’s america’s ass	HOF
1123617739938000896	this the cutest shit ive ever seen https://t.co/IDGoe17i62	HOF
1123675147343421448	RT @abhisar_sharma: And as Pragya Thakur defends his father, guess which party will be his choice ? Rather which party will welcome him wit…	NOT
1126926349505982464	RT @eternallyixing: 190510 Yixing weibo update   “@layzhang: uh are you fat or is your fur just long?” 🐶 https://t.co/R4DCG1pHVC	NOT
1123475024520912899	RT @pomusana: y’all can stick your damn crying tweets up your ass and i honestly feel bad for blackpink and that they have fans like you gu…	HOF
1130035469641768960	Mags News Test mode May 19, 2019 at 04:58PM https://t.co/D62IrnG8fv	NOT
1126806551803629568	@princessdaddyve They cooperated as much as they could before your friend her twted their private info just like th… https://t.co/R7XppllCZ0	NOT
1126837866468990976	RT @_MonicaLauren: Juke Jam by Chance the Rapper is a fucking classic.	HOF
1123562404472918017	RT @PFr1end: If ever there was an advert for abolishing the Lords it is Lord Bichard who says Retired people could do work for pensions  Pe…	NOT
1126980074358571008	3 people followed me // automatically checked by https://t.co/NQi4qeimwZ	NOT
1123665206838734850	All I hear is my siblings coming in the house. Ewww what's that awful smell   Jesss did you poop again???   Me I'm sick sorry	HOF
1130311593265389569	RT @mrmanhere_: Nigerians don’t have chill. They’ve made a music video for the “fuck you but to Jesus be my glory” guy 😂 https://t.co/SfWLd…	HOF
1123691907811565569	RT @2019thoughts: "IF I CAN’T HAVE YOU". BITCH YOU CAN HAVE ME, ALL OF ME. @ShawnMendes	HOF
1126930149566570497	RT @chuckmabli: georgia will put your ass in jail if you go out of state for an abortion   colorado don’t give af if you got some mushrooms…	HOF
1123712115964030977	RT @Byte_My_ASCII_: Wait a fucking minute, eggman, THOSE ARENT THE CHAOS EMERALDS https://t.co/rQK2pyDrMj	HOF
1126912319592775681	@chanson_jiaer I wanted thit to save her from him here and beat the shit out of him and after that out of himself too	HOF
1127085963765698560	@casforachange thank you so much💕💕nobody deserves to go through something as horrid as that, you’re so strong ah❤️	NOT
1123654578472476674	you need this! https://t.co/pYCcZznW9D here you go #AvalancheTheArchitect #Drake	NOT
1126735886173925378	Her: if you don’t get two kills in two shots I’m going through your phone.   Me:   #Fortnite #XboxShare https://t.co/uJugKk0oyc	NOT
1123579919898800128	.@JustinTrudeau it’s becoming increasingly unclear to me why you’re still advocating for another pipeline when you… https://t.co/Ic7TBkbRkD	NOT
1126888256866586624	RT @kayagbayani: u are that bitch u got dis	HOF
1123637658679414788	You’re pregnant @calebhayden40   You whore	HOF
1123720810760474624	RT @YOONGIBUCKET: Fuck just seeing their smol polite smiles sets my heart on fire @BTS_twt https://t.co/C2EU7i63P5	HOF
1123727769077211138	tell me what it is that you want from me	NOT
1123662778365988864	RT @__gaciria: ⚠️⚠️Only a few minutes left⚠️⚠️  GO GO GO  @BTS_twt #BBMAsTopSocial BTS https://t.co/oiATtr3BIs	NOT
1127031161002311682	RT @RyanBacardi: Close ass game lol  https://t.co/QAMQJdzVJh https://t.co/M5bMbFWRAM	HOF
1123480644888276992	RT @jimmymac1888: Cannae believe the shambles that was ‘the ballot’ for the final. Which fickwit at CP decided to fuck people over. Ticket…	HOF
1127050710623948800	RT @sirenalba: @RyanDestiny ugh help us have the show back instead https://t.co/2drrypmB5x :( I don’t wanna say bye #SaveSTAR #renewSTAR	NOT
1123750032447086594	RT @jeen4tae: Taehyung and visual always go hand in hand. https://t.co/Th1xooTyHe	NOT
1123619069519785985	RT @sapphicaptain: gamora getting ready to give the gays everything we want https://t.co/32atb3uLzy	NOT
1123609980454744064	1 like = 1 indireta com a inicial — Go go https://t.co/f2fzdGYuxw	NOT
1126828668389593088	@ProlificPapi 🤣 bun him anyway, he cheated	HOF
1130163081328386048	@__LilbittyyA Mfers Be Sick Asl💯 That’s Why I Just Do Me	HOF
1123581316572819456	If we would stop treating clinical terms as taboo, they wouldn't be taboo. Saying words like "penis" "vagina" "sper… https://t.co/dYDF0nB6b0	NOT
1126952882702622725	We need a word for ‘going somewhere alone,sitting and waiting for some stranger to approach you’	NOT
1130022979008630784	my sister thought she was so slick coming into the house drunk, my dad caught her &amp; exposed tf out of her 😂😂😂	NOT
1127050408659177472	Wow ,I hate myself so much like, I'm "wow" of how much needy, selfish, crying bitch, stupid , ugly and unworthy I am	HOF
1126973455763525632	I (and I cannot stress this enough) know when you’re lying.	NOT
1123685914138546176	RT @marleygonarley: My bitch a backwood ur bitch a swisher sweet niggggga https://t.co/plnnqCLpWt	HOF
1126892283381604353	Why does this country seem so determined to plumb all the depths of evil now, I want us to be the opposite, I want… https://t.co/U7RYQHR0uG	NOT
1123627093231841280	@alejandriaeliz1 @KunkelAna Suck my pussy	HOF
1126901229823639553	RT @OgbeniDipo: To my young followers, please don’t engage in cybercrime or yahoo yahoo. You will only be destroying your own future. Work…	NOT
1127083652687568896	Ok then well bitch keep my name out your mouth and that’s real do you I don’t care. Fucking dumb ass bitch always w… https://t.co/HgziUfvh8G	HOF
1123671020152524800	@realDonaldTrump Swamp people, -You all be found out now https://t.co/aLJHalUp8C	NOT
1130334078912409600	RT @idillionaire: You’re going to start having more energy to do what you came here to do. Your purpose will revel itself and the supply wi…	NOT
1123663290050252800	RT @TAMARAJUANA: I’ll never understand just throwing shit on the ground. https://t.co/1FF6Lui0SG	HOF
1130070487898447873	RT @stormzy: Vegans think they’re so sick	HOF
1130173713909997569	@Like_C1ockwork I need them jays	NOT
1123582293837271042	Omg curry dunks and it’s like top 10 plays come on ESPN you’re better than that	NOT
1126987607336992768	RT @tmetrvlingshark: ProJared's Earthworm Jim looking ass cheating on a solid 8/10 with a 1/10 will never not be fucking hilarious to me ht…	HOF
1123529412090028034	sick and tired of pretending	NOT
1126816236438843393	RT @julmoonchild: unnie, you’re- https://t.co/dAqcuuAFAE	NOT
1130129581434908674	RT @CrypticNoOne: Who's the dumbass that drop kicked Arnold Schwarzenegger?? We need names  https://t.co/TrEQeTiHi6	HOF
1123789567977504769	RT @serendipitydon1: *reminds myself he's not worth my tears*  Fuck that idiot.	HOF
1130244182390579200	RT @givemeyouruwus: This is the funniest fucking thing I’ve ever seen https://t.co/hzE06b72cS	HOF
1130108630869651456	RT @MattBC_: Report me for what exactly? Saying that a band has shit music? Grow up you massive fucking sap 😂😂😂 https://t.co/zSPRCuYLFF	HOF
1123548483573637121	RT @francisyuuuh: you’re an army if you use:  seokjin instead of jin namjoon instead of RM yoongi instead of suga hoseok instead of j-hope…	NOT
1127001159133270017	@gekkouhigh so like its. "oh shit sorry your life sucked or whatever. yeah this place just seems to choose people r… https://t.co/Ua0EFCHEzy	HOF
1130293104752439296	RT @LLCooITre: Teacher: no question is a dumb question  The kid nobody likes: *asks a question*  The rest of the class: https://t.co/SgupNk…	NOT
1127046226929541120	@BTS_twt You’re so cute:(((((	NOT
1130148636170620928	RT @BillPalmer: Donald Trump reveals he's somehow even more sick and twisted than we thought https://t.co/JMi3iPFVps	HOF
1126938789807632390	@MartinDaubney What the fuck has happened to u Martin ? Pinning ur colours to a racist like farage, I’m ashamed of you	HOF
1123562752604348417	RT @Lubchansky: good to know rich people have always been dumb as shit https://t.co/otdmH0wquk	HOF
1123655681586843648	RT @maydaymindy9: Lindsey Graham is losing his shit and just used the word fuck on live TV  Super big sick ass Sycophant  Lindsey needs to…	HOF
1123546122193186821	@Khlomoney98 I’d say expose because he’s literally cheating but you know how some girls are when you tell them what their men are up to .	NOT
1126925959435890689	@AskPlayStation I can’t get the 14 days free trial please fix I don’t have money for ps plus I need this	NOT
1126944456341692417	4 people followed me // automatically checked by https://t.co/YoeXq27iwy	NOT
1123753790539276289	RT @TomFitton: .@JudicialWatch FOIA disclosures help lead to criminal referral on Russiagate targeting of @realDonaldTrump. https://t.co/aS…	NOT
1127064136582684673	@MollyBOfficial Ehhhhh i don’t know. The only cat I’ve ever had my parents told me got sick and died but 16 years l… https://t.co/KbEYh7svTR	NOT
1130135294051868672	This shit got me dead💀💀💀 but y’all wild as hell yall basically calling this nigga a child molester	HOF
1127052975552311297	That’s ah damn shame 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️	NOT
1123661096433463297	RT @gtconway3d: they still think you’re nuts https://t.co/gFfLC785CI	HOF
1123613440768126978	@HeelBalor Just like her Father	NOT
1130337639872155648	damn hitchcock n scully	HOF
1127065248094150661	@amandapanda_5 A big mood	NOT
1123550488451067904	RT @ChickenColeman: This is RACIST!!!!!! https://t.co/lalIrdBX1d	NOT
1123578841937653760	@lukeallmond1 Yup lol	NOT
1127021476337594374	I bet y’all better be fucking playing after I almost died at the wedding	HOF
1123682919422337025	Drafting Chapter Six of Changeling’s Guide to mastodon for Screen Reader Users. While you’re waiting for it to come… https://t.co/paDXiUOFt6	NOT
1126846431241875456	RT @Keasiaaaaa__: I picked MYSELF up EVERYTIME I fell ! I don’t owe nobody shit !!	HOF
1126777434961924096	RT @SalmanNizami_: 2014- Modi means Business  2015- Why Modi matters  2019- India's Divider in CHIEF.  Modi's achievement in 5 yrs! https:/…	NOT
1126814470637019136	@realDonaldTrump No, most Americans think you are a disgrace. Case closed.	HOF
1123781208708665345	RT @lacienega_: Y’all my friend is an idiot 🤣🤣🤣🤣 she thought this blind man was dancing to her music https://t.co/YzUZA2Px1G	HOF
1127047904647159809	Had an awesome time at the concert! @thatsdax was fucking amazing!!! https://t.co/hbBFwqmP0b	HOF
1123620432651927553	god damn 💀💀💀	HOF
1130168999486951424	RT @sxnchild13: get in loser we’re healing from past trauma and changing our negative coping mechanisms	NOT
1123690360084017154	RT @ShivAroor: *Monsoon delayed* "MODI, YOU PIECE OF SHIT!"  *#MasoodAzhar designated global terrorist* "CONGRATS SUSHMA JI!"	HOF
1130053576456323074	RT @williamnhutton: Boris Johnson, a charlatan and an inveterate liar, will complete the transmutation of the Tory party into an ultra righ…	NOT
1130211760412221441	RT @JAYVERSACE: this shit took me back i’m bouta cry bitch https://t.co/HsAweKYuvv	HOF
1130161391032098816	RT @BrennenTaylor: Beauty gurus are so problematic... can’t yall just not shit talk eachother and just post videos? This is not some compet…	HOF
